"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"armin van buuren & ruben de ronde",1,1260,,,,,,,,
"armin van buuren speak",2,840,,,,,,,,
"art brut",5,507,5,534,43,141,2,1500,18,381
"art vs. science",103,58,31,178,12,461,10,658,21,330
"artem bemba",73,87,,,2,1292,,,,
"artful",1,1260,,,,,,,,
"arthur fiedler: boston pops orchestra",24,209,,,13,426,1,2135,,
"ash",2,840,,,,,,,,
"asia",1,1260,,,,,,,,
"asian dub foundation / harry beckett / simon desouza",1,1260,,,,,,,,
"asp",2,840,,,2,1292,,,,
"assemblage 23",2,840,,,1,1982,,,1,2066
"aswad",2,840,1,1301,,,,,,
"asylums",1,1260,,,,,,,,
"au revoir simone",1,1260,,,1,1982,,,,
"augie march",2,840,2,855,1,1982,,,,
"austin pendleton",1,1260,,,,,,,,
"autoheart",1,1260,,,,,,,,
"autonomics",2,840,1,1301,,,,,,
"avers",10,362,10,375,40,161,4,1081,13,515
"avicii",7,436,,,,,,,,
"awolnation",346,8,92,66,41,152,33,228,39,173
"axel boman",1,1260,,,2,1292,,,,
"axolotes mexicanos",1,1260,,,,,,,,
"axwell",4,583,2,855,,,,,,
"axwell & ingrosso",1,1260,,,,,,,,
"axwell | swedish house mafia",3,679,,,,,,,,
"axwell, ingrosso, angello, laidback luke feat. deborah cox",2,840,,,,,,,,
"azealia banks",1,1260,4,599,9,560,1,2135,5,948
"aztec camera",6,463,,,3,1021,1,2135,1,2066
"azusa",1,1260,1,1301,,,,,,
"b-movie",2,840,,,,,,,,
"babylon zoo",2,840,1,1301,,,2,1500,1,2066
"babyshambles",2,840,16,291,,,,,,
"bachman-turner overdrive",6,463,,,,,1,2135,1,2066
"backstreet boys",1,1260,,,4,865,1,2135,1,2066
"bad boys blue",3,679,,,,,,,,
"bad gyal",2,840,,,,,,,,
"bad mannequins",11,348,7,458,2,1292,,,6,854
"bad nerves",5,507,3,685,2,1292,8,761,10,666
"bad wave",4,583,3,685,,,,,,
"badfinger",15,285,15,303,4,865,2,1500,,
"badly drawn boy",2,840,2,855,2,1292,2,1500,,
"bais haus",7,436,,,,,,,,
"baker",2,840,,,,,,,,
"balkan beat box",3,679,,,1,1982,,,3,1188
"ball park music",5,507,2,855,,,2,1500,2,1439
"bananarama",15,285,12,339,3,1021,9,707,12,563
"band of skulls",9,390,105,54,8,595,3,1236,19,362
"bang camaro",1,1260,,,,,,,,
"bangles",10,362,2,855,,,1,2135,9,716
"banx & ranx & ella eyre",2,840,,,,,,,,
"barbara mcnair",1,1260,1,1301,,,,,,
"barbara randolph",1,1260,1,1301,,,,,,
"barry adamson",1,1260,,,,,1,2135,4,1038
"bartok, bela",1,1260,,,,,,,,
"bas jan",1,1260,,,,,,,,
"baseball gregg",1,1260,,,,,,,,
"basement jaxx",28,187,13,325,11,496,48,162,1,2066
"basement jaxx feat. adrianna montero",1,1260,,,,,,,,
"batteries",1,1260,,,,,,,,
"bauhaus",75,82,28,195,14,406,10,658,67,90
"baustelle",1,1260,,,,,1,2135,,
"be charlotte",2,840,,,,,,,,
"beach boys",65,95,6,496,7,630,3,1236,7,802
"beach house",5,507,2,855,,,,,2,1439
"beach mercer",3,679,,,3,1021,,,,
"beady eye",54,112,78,82,15,390,17,396,22,315
"bear hands",1,1260,,,,,,,,
"beastie boys",20,234,10,375,9,560,5,979,10,666
"beatrice antolini",1,1260,,,,,,,,
"becca mancari",1,1260,,,1,1982,13,511,1,2066
"beck",61,100,47,126,25,249,12,544,16,422
"bedouin soundclash",2,840,,,,,,,,
"bedrock featuring kyo",3,679,1,1301,,,1,2135,,
"bee gees",15,285,9,393,4,865,1,2135,16,422
"beirut",8,408,37,153,1,1982,7,821,3,1188
"belako",2,840,,,,,,,,
"belle and sebastian",28,187,20,249,41,152,,,41,157
"bells",1,1260,,,,,,,,
"ben folds",1,1260,,,,,,,,
"ben gold & sivan",1,1260,,,,,,,,
"benni benassi pres. the biz",2,840,,,,,,,,
"berlin philharmonic, herbert von karajan",9,390,,,1,1982,1,2135,,
"betty wand (for rita moreno) and george chakiris",1,1260,,,,,,,,
"betty who",14,298,1,1301,,,,,,
"biffy clyro",4,583,2,855,3,1021,1,2135,,
"big bill",1,1260,,,,,,,,
"big data",15,285,45,131,8,595,3,1236,5,948
"big thief",1,1260,4,599,2,1292,,,2,1439
"bikini kill",2,840,,,,,1,2135,1,2066
"billie eilish",1,1260,6,496,2,1292,18,381,,
"billy boy on poison",4,583,,,,,,,,
