"artist","total_plays_2018","rank_2018","total_plays_2019","rank_2019","total_plays_2020","rank_2020","total_plays_2021","rank_2021","total_plays_2022","rank_2022"
"underworld & ewen bremner",1,1260,,,,,,,,
"unkle",1,1260,1,1301,2,1292,3,1236,1,2066
"usher",2,840,,,,,,,,
"usta",1,1260,,,,,,,,
"v sparks",2,840,1,1301,1,1982,1,2135,,
"v v brown",9,390,3,685,2,1292,,,1,2066
"vagiant",2,840,,,,,,,1,2066
"vallejo",2,840,,,,,,,,
"valley queen",1,1260,,,,,,,,
"van halen",3,679,,,,,1,2135,1,2066
"van morrison",2,840,2,855,5,761,,,,
"vance joy",1,1260,,,,,,,,
"vari",2,840,,,,,,,,
"various artists",10,362,2,855,49,122,1,2135,,
"vengaboys",5,507,6,496,6,685,3,1236,9,716
"vicci martinez",3,679,,,,,,,,
"vilde",3,679,1,1301,,,,,,
"village people",1,1260,,,,,,,1,2066
"villagers",2,840,1,1301,2,1292,13,511,2,1439
"vince staples",15,285,,,,,5,979,,
"vini vici & coming soon!!!",1,1260,,,,,,,,
"vinnie moore",10,362,,,12,461,1,2135,,
"violent femmes",25,204,22,239,12,461,26,284,21,330
"vistas",1,1260,2,855,1,1982,1,2135,,
"vitalic",177,31,25,214,35,182,6,887,21,330
"vnv nation",12,329,,,,,,,3,1188
"voiid",1,1260,,,,,,,,
"voivod",3,679,1,1301,,,,,,
"volcano choir",1,1260,,,,,,,,
"volfoniq",3,679,,,,,,,,
"volkova sisters",7,436,10,375,82,70,39,202,54,121
"vowws",1,1260,,,,,,,,
"vundabar",9,390,9,393,3,1021,3,1236,30,234
"walk the moon",1,1260,,,,,,,,
"walter martin",1,1260,,,2,1292,,,,
"wand",1,1260,3,685,55,109,3,1236,6,854
"warpaint",1,1260,3,685,2,1292,4,1081,6,854
"warren g feat. nate dogg",1,1260,,,,,,,1,2066
"washington symphonic brass",25,204,3,685,3,1021,,,,
"wavves",16,273,8,428,12,461,1,2135,1,2066
"wavves & culture abuse",1,1260,,,,,,,,
"wayne fontana and the mindbenders",1,1260,1,1301,2,1292,,,,
"we are scientists",5,507,23,230,3,1021,2,1500,1,2066
"we are z",1,1260,,,,,,,,
"we cut corners",2,840,,,,,1,2135,,
"we were promised jetpacks",2,840,,,2,1292,1,2135,,
"we were promised jetpacks,jonathan low",8,408,2,855,,,,,,
"weakened friends",1,1260,,,,,,,,
"weaves",2,840,,,,,,,,
"websterx",1,1260,,,,,,,,
"weezer",3,679,3,685,,,1,2135,,
"weird bloom",1,1260,,,,,,,,
"wham!",24,209,11,360,9,560,12,544,11,611
"white arrows",1,1260,,,,,,,,
"white denim",1,1260,4,599,2,1292,3,1236,,
"white lies",1,1260,67,94,5,761,25,297,15,450
"white sea",4,583,4,599,,,,,,
"white town",3,679,1,1301,,,1,2135,1,2066
"whitesnake",1,1260,,,,,,,,
"wild beasts",2,840,2,855,5,761,25,297,,
"wiley",3,679,1,1301,1,1982,,,4,1038
"will rees",1,1260,,,,,,,,
"will yates",8,408,,,,,,,,
"william fitzsimmons",1,1260,,,,,,,,
"winnetka bowling league",1,1260,2,855,,,2,1500,,
"wire",8,408,4,599,49,122,58,126,6,854
"wishbone ash",4,583,1,1301,,,,,,
"wizzard",3,679,4,599,,,1,2135,,
"wolf alice",96,61,93,65,34,187,91,68,62,100
"wolf parade",1,1260,2,855,29,221,23,318,1,2066
"wolfsheim",1,1260,,,,,,,2,1439
"wonder girls",1,1260,1,1301,4,865,,,2,1439
"wooden arms",1,1260,,,,,,,,
"wovoka gentle",2,840,5,534,1,1982,1,2135,,
"wreckless eric",1,1260,4,599,2,1292,,,,
"wye oak",1,1260,9,393,2,1292,1,2135,1,2066
"x",1,1260,6,496,1,1982,4,1081,4,1038
"x ambassadors",2,840,5,534,,,,,,
"x-ray spex",1,1260,2,855,1,1982,72,96,9,716
"xtc",85,68,63,104,36,177,103,58,83,68
"yacht",2,840,,,1,1982,1,2135,1,2066
"yael naim",1,1260,,,,,,,,
"yak",1,1260,72,85,40,161,24,312,20,345
"yann perreau",5,507,4,599,4,865,,,3,1188
"yazoo",4,583,,,,,,,,
"yeah yeah yeahs",12,329,9,393,15,390,12,544,25,279
"years & years",31,168,4,599,,,4,1081,2,1439
"yelle",1,1260,1,1301,2,1292,10,658,2,1439
"yello",15,285,3,685,1,1982,,,,
"yngwie j. malmsteen",11,348,,,,,,,,
"yngwie malmsteen",2,840,1,1301,,,,,1,2066
"you love her coz she's dead",1,1260,1,1301,,,,,,
"young fathers",306,12,170,25,114,34,64,109,198,17
"young the giant",5,507,2,855,,,2,1500,,
"yumi and the weather",1,1260,,,,,,,,
"yungblud",156,38,86,72,29,221,7,821,6,854
"yuri temirkanov: royal philharmonic orchestra",7,436,,,1,1982,1,2135,,
"yussef kamaal",1,1260,,,,,,,,
"zap mama",2,840,,,,,,,,
"zarif",1,1260,,,,,1,2135,,
"zeal and ardor",148,42,71,88,48,125,11,598,99,44
"zero 7",1,1260,1,1301,,,2,1500,,
"zero mostel",2,840,,,,,,,,
"zeromancer",3,679,1,1301,,,,,,
"zhu",34,156,6,496,16,368,14,479,,
"zhu & karnaval blues",1,1260,,,1,1982,1,2135,,
"zoe.leela",1,1260,,,1,1982,,,,
"zola jesus",20,234,26,206,7,630,38,205,48,135
"zubin mehta;israel philharmonic orchestra",6,463,,,,,,,,
"zubin mehta: israel philharmonic orchestra",12,329,,,,,,,,
"zucchero",253,17,56,113,139,24,63,112,60,105
"агата кристи",79,77,63,104,105,40,17,396,6,854
"аквариум",1,1260,18,269,32,204,125,43,38,178
"альянс",1,1260,4,599,3,1021,15,446,3,1188
"ария",17,258,17,279,3,1021,2,1500,,
"аукцыон",1,1260,5,534,,,38,205,18,381
"дискотека авария",46,128,3,685,4,865,22,325,21,330
"кино",135,44,238,15,202,9,257,7,138,30
"макентош",1,1260,2,855,,,,,,
"машина времени",212,21,32,173,9,560,56,130,11,611
"наутилус помпилиус",35,152,89,67,80,71,296,4,47,140
"несчастный случай",7,436,33,169,8,595,7,821,2,1439
"ночные снайперы",35,152,24,225,31,208,73,94,91,51
"пикник",30,173,53,117,41,152,17,396,34,208
"пилот",19,242,56,113,22,280,4,1081,4,1038
"почему коммутатор молчит",10,362,4,599,,,,,,
"сектор газа",203,23,189,18,122,32,36,211,28,250
"сплин",2,840,258,13,67,83,91,68,10,666
"фиорд",10,362,10,375,1,1982,,,,
"제아, 미료",1,1260,5,534,1,1982,1,2135,,
"태양 & t.o.p",1,1260,,,,,,,,
,47,127,6,496,,,,,1,2066
"!!! (chk chk chk)",,,24,225,,,,,,
"(sandy) alex g",,,1,1301,,,,,,
"42 king",,,1,1301,,,,,,
"45acidbabies",,,2,855,1,1982,,,,
"4minute",,,1,1301,,,,,,
"7б",,,1,1301,,,,,,
"808 state",,,2,855,,,11,598,6,854
"a lovely war",,,1,1301,,,,,,
"a method of dance",,,2,855,,,,,,
"a-star",,,1,1301,,,,,,
"aa",,,1,1301,,,,,,
"aaron taos",,,2,855,,,,,,
"abhi the nomad",,,4,599,1,1982,1,2135,,
"action rituelle des ancetres",,,1,1301,,,,,,
"adamski/seal",,,2,855,,,2,1500,1,2066
"adoration de la terre",,,1,1301,,,,,,
"adwaith",,,53,117,5,761,4,1081,19,362
"agent orange",,,3,685,2,1292,2,1500,2,1439
"ages and ages",,,5,534,1,1982,1,2135,,
"airways",,,23,230,8,595,5,979,,
"aldous harding",,,1,1301,,,1,2135,3,1188
"alfie templeman",,,2,855,1,1982,3,1236,1,2066
"alfred brendel: michael gielen: vienna symphony orchestra",,,4,599,,,,,,
"alice dreamt",,,2,855,3,1021,,,,
"allah-las",,,33,169,13,426,26,284,,
"amongster",,,3,685,,,,,,
"amy winehouse",,,1,1301,,,,,,
"amyl and the sniffers",,,4,599,4,865,62,116,23,299
"an horse",,,2,855,,,,,,
"andre previn; los angeles philharmonic orchestra",,,5,534,,,1,2135,,
"andrew applepie",,,3,685,,,,,,
"andrew bird",,,45,131,44,135,2,1500,15,450
"angel olsen",,,1,1301,1,1982,9,707,1,2066
"anima!",,,2,855,,,,,,
"anna calvi",,,41,143,19,312,23,318,10,666
"anna meredith",,,2,855,1,1982,1,2135,1,2066
"annie",,,3,685,2,1292,,,2,1439
"antarctigo vespucci",,,2,855,,,,,,
"antis",,,3,685,1,1982,10,658,,
"arlo parks",,,1,1301,2,1292,12,544,3,1188
"armand van helden feat. duane harden",,,2,855,,,2,1500,1,2066
"arno faraji",,,2,855,,,,,,
"arron migs",,,2,855,,,,,,
"arthur russell",,,1,1301,,,1,2135,1,2066
"atomic kitten",,,1,1301,,,,,,
"attica riots",,,3,685,,,,,,
"au/ra",,,2,855,,,,,,
"audiofreak bros",,,3,685,,,,,,
"august born",,,1,1301,,,,,1,2066
"ava max",,,1,1301,,,,,,
"awaze",,,2,855,,,,,,
"b.b and band",,,2,855,,,,,1,2066
"backseat vinyl",,,2,855,4,865,,,1,2066
"bad pony",,,10,375,1,1982,,,,
"bad sounds",,,10,375,6,685,1,2135,1,2066
"bakar",,,2,855,1,1982,2,1500,,
"balms",,,2,855,,,,,,
"balthazar",,,2,855,,,1,2135,,
"basking sharks",,,2,855,,,,,,
"be bop deluxe",,,1,1301,,,,,,
"bear mccreary",,,1,1301,,,,,,
"beat brothers",,,2,855,,,,,,
"bebe neuwirth",,,1,1301,,,,,,
"bee bee sea",,,2,855,3,1021,3,1236,1,2066
"belle & sebastian",,,2,855,6,685,12,544,38,178
"bendigo fletcher",,,2,855,,,,,,
"berlin philharmonic orchestra, herbert von karajan",,,1,1301,,,,,,
"berliner philharmoniker & lorin maazel",,,16,291,1,1982,9,707,,
"bernstein/concertgebouworkest amsterdam",,,9,393,,,,,,
"beshken",,,2,855,,,,,,
"better oblivion community center",,,2,855,,,,,,
"beyoncé",,,2,855,1,1982,1,2135,2,1439
"big brave",,,1,1301,,,,,1,2066
"big country",,,4,599,1,1982,1,2135,,
"big wild",,,1,1301,,,,,,
"billy joel",,,1,1301,,,,,,
"black lips",,,1,1301,1,1982,,,24,290
"black loop",,,1,1301,,,,,,
"blackpink",,,1,1301,,,,,,
"blessed",,,3,685,,,,,,
"blood red shoes",,,189,18,36,177,47,163,91,51
"blue boy",,,1,1301,1,1982,,,1,2066
"blues saraceno",,,1,1301,1,1982,,,1,2066
"blushh",,,1,1301,,,,,,
"bo en",,,1,1301,,,,,,
"bob & earl",,,1,1301,,,,,,
"bomfunk mc's",,,2,855,1,1982,2,1500,1,2066
"bon iver",,,2,855,,,9,707,,
"bony macaroni",,,2,855,,,,,,
"born idiot",,,2,855,,,,,,
"bow wow wow",,,1,1301,7,630,3,1236,5,948
"brazzaville",,,18,269,24,259,,,,
"breathe.",,,3,685,,,,,,
"brenda lee",,,1,1301,,,,,,
"brick & mortar",,,2,855,,,,,,
"brittany howard",,,1,1301,,,,,,
"broken silence",,,2,855,,,,,,
"broken social scene",,,2,855,2,1292,1,2135,,
"bronze radio return",,,1,1301,,,2,1500,,
"buzzard buzzard buzzard",,,26,206,35,182,43,183,24,290
"by effect",,,1,1301,1,1982,,,,
"cagework",,,2,855,,,,,,
"call me karizma",,,2,855,,,,,,
"callum pitt",,,2,855,,,,,,
"canary gold",,,2,855,,,,,,
"carbon leaf",,,2,855,,,,,4,1038
"carly rae jepsen",,,1,1301,,,,,1,2066
"carter reeves",,,9,393,1,1982,1,2135,,
"carter the unstoppable sex machine",,,142,35,89,62,15,446,2,1439
"carter the unstoppable sex machine/morrison",,,3,685,,,5,979,,
"cass mccombs",,,69,91,4,865,1,2135,17,401
"caveboy",,,21,245,18,333,9,707,9,716
"caymann",,,2,855,,,,,,
"celldweller feat. styles of beyond",,,1,1301,,,,,,
"centrefolds",,,3,685,,,,,,
"cercles mysterieux des adolescentes",,,1,1301,,,,,,
"champyons",,,2,855,2,1292,1,2135,1,2066
"charli xcx & christine and the queens",,,2,855,1,1982,,,,
"charlie burg",,,2,855,,,,,,
"cheekface",,,2,855,,,2,1500,17,401
"chris connelly & the bells",,,1,1301,,,1,2135,,
"chromeo",,,2,855,2,1292,,,,
"chuck beats",,,1,1301,,,,,,
"chuck berry",,,2,855,1,1982,1,2135,,
"citizen",,,2,855,,,,,1,2066
"clairo",,,2,855,,,,,,
"clan perro",,,1,1301,1,1982,,,,
"cleopatrick",,,5,534,5,761,5,979,1,2066
"colyer",,,3,685,,,,,,
"cortege du sage",,,1,1301,,,,,,
"cortes",,,3,685,1,1982,,,,
"cosmo's midnight",,,1,1301,,,,,,
"coyote melon",,,2,855,,,,,,
"crane like the bird",,,3,685,,,,,,
"creature with the atom brain",,,1,1301,,,,,,
"crooked colours",,,2,855,,,,,,
"culann's hounds",,,2,855,,,,,1,2066
"cyber traxx",,,2,855,,,,,,
"da tribe",,,4,599,,,,,,
"daikaiju",,,1,1301,,,1,2135,,
"daniel caesar ft koffee",,,1,1301,,,,,,
"danse de la terre",,,1,1301,,,,,,
"danse sacrale. l'elue",,,1,1301,,,,,,
"danu",,,2,855,,,,,1,2066
"daphni ft paradise",,,1,1301,,,,,,
"daste",,,1,1301,,,,,,
"datarock,yngve sætre, fredrik saroea",,,12,339,1,1982,1,2135,,
"dave",,,1,1301,,,,,,
"david bowie & mick jagger",,,5,534,3,1021,1,2135,1,2066
"david marquez",,,2,855,,,,,,
"david morales fe. juliet roberts",,,1,1301,,,2,1500,,
"davie allan",,,5,534,1,1982,,,,
"de staat",,,2,855,,,,,,
"deee-lite",,,1,1301,1,1982,1,2135,16,422
"deep sea arcade",,,3,685,,,,,,
"deeper throat",,,1,1301,,,,,,
"deerhunter",,,5,534,1,1982,5,979,,
"del shannon",,,1,1301,3,1021,1,2135,1,2066
"der feuervogel und sein tanz",,,1,1301,,,,,,
"derek sherinian",,,1,1301,,,,,,
"destination venus",,,2,855,,,,,,
"detroit spinners",,,1,1301,,,,,1,2066
"devotchka",,,2,855,,,12,544,,
"dick dale",,,1,1301,,,,,1,2066
"dinosaur pile-up",,,2,855,,,,,,
"dirty sound magnet",,,2,855,,,,,,
"dizzy spells",,,2,855,,,,,,
"drab majesty",,,19,260,3,1021,,,22,315
"drahla",,,17,279,,,1,2135,6,854
"dream wife",,,11,360,17,346,1,2135,3,1188
"dreamers",,,1,1301,1,1982,1,2135,1,2066
"drenge",,,72,85,24,259,15,446,38,178
"droeloe",,,1,1301,,,,,,
"droeloe & fytch",,,2,855,,,,,,
"dwilly",,,1,1301,,,,,,
"dylan cartlidge",,,4,599,,,1,2135,,
"dynamit fischer",,,15,303,3,1021,2,1500,,
"dz deathrays",,,2,855,4,865,2,1500,1,2066
"e",,,1,1301,20,302,10,658,,
"east harbor",,,3,685,,,,,,
"easton",,,1,1301,,,,,,
"easy life",,,4,599,3,1021,2,1500,,
"eddie g",,,1,1301,,,,,,
"electro republic",,,2,855,,,,,,
"elvis costello & the attractions",,,2,855,12,461,2,1500,,
"emerson, lake & palmer",,,1,1301,1,1982,,,,
"emf",,,2,855,,,1,2135,,
"emil decameron orchestra & emil decameron",,,1,1301,1,1982,,,,
"empire of the sun",,,1,1301,3,1021,1,2135,,
"etruria criminale banda",,,11,360,,,11,598,,
"eut",,,4,599,,,1,2135,,
"everyone you know",,,2,855,,,,,,
"evocation des ancetres",,,1,1301,,,,,,
"eyeless in gaza",,,1,1301,,,1,2135,2,1439
"f(x)",,,5,534,,,1,2135,,
"faces on tv",,,2,855,,,,,,
"fake",,,1,1301,,,,,,
"famous",,,15,303,13,426,71,98,20,345
"fangclub",,,3,685,1,1982,1,2135,1,2066
"fear factory",,,1,1301,,,,,,
"feathers (rock)",,,1,1301,,,,,,
"feet",,,3,685,15,390,11,598,1,2066
"femme",,,1,1301,,,,,,
"feng suave",,,2,855,,,,,,
"feva",,,2,855,,,,,,
"fews",,,4,599,8,595,2,1500,1,2066
"finneas",,,2,855,,,,,,
"fireball ministry",,,1,1301,,,,,,
"firewoodisland",,,2,855,,,,,,
"fizzy blood",,,3,685,,,,,,
"floyd fuji",,,2,855,,,,,,
"fontaines d.c.",,,127,45,173,14,178,17,335,4
"foreign air",,,2,855,3,1021,1,2135,,
"frank carter & the rattlesnakes",,,128,43,15,390,33,228,7,802
"frank carter & the rattlesnakes/tom morello",,,7,458,1,1982,,,,
"frank turner",,,28,195,,,2,1500,,
"freeda",,,2,855,,,,,,
"friska viljor",,,3,685,2,1292,1,2135,1,2066
"frog",,,3,685,,,,,,
"fukc",,,13,325,3,1021,1,2135,1,2066
"fur",,,3,685,3,1021,,,,
"future of the left",,,42,139,16,368,17,396,55,117
"g.b.h.",,,1,1301,2,1292,,,,
"gabe fleck",,,3,685,,,,,1,2066
"gaffa tape sandy",,,2,855,,,,,,
"gala",,,2,855,,,,,,
"gallus",,,2,855,1,1982,1,2135,3,1188
"gary hoey",,,2,855,1,1982,,,2,1439
"gaspar sanz",,,2,855,,,,,,
"gene farrow",,,3,685,,,,,1,2066
"georg solti: chicago symphony orchestra",,,5,534,,,,,,
"germs",,,1,1301,,,,,,
"ghost soul trio",,,2,855,,,,,,
"ghostland observatory",,,3,685,,,,,,
"girl talk",,,1,1301,,,1,2135,1,2066
"girlfriend material",,,2,855,2,1292,,,,
"girlpool",,,2,855,,,,,,
"glass museum",,,3,685,,,,,,
"glorification de l'elue",,,1,1301,,,,,,
"googie rene",,,1,1301,,,,,,
"gorky's zygotic mynci",,,4,599,,,,,1,2066
"grabbitz & pierce fulton",,,2,855,,,,,,
"graveyard club",,,2,855,1,1982,,,2,1439
"grouplove",,,1,1301,5,761,2,1500,2,1439
"growing",,,2,855,1,1982,,,,
"gus dapperton",,,3,685,,,,,,
"guster",,,32,173,2,1292,1,2135,,
"haiku hands & true vibenation",,,1,1301,,,,,,
"haiku hands,angus stuart",,,3,685,4,865,,,3,1188
"haley heynderickx & max garcia conover",,,2,855,,,,,,
"half•alive",,,3,685,,,,,,
"halfloves",,,2,855,,,,,,
"harrison sands",,,2,855,,,,,,
"havelock",,,2,855,1,1982,,,1,2066
"head of the class",,,3,685,,,,,,
"henry jackman",,,3,685,,,,,,
"her",,,2,855,,,,,,
"herbert von karajan: berlin philharmonic orchestra",,,1,1301,,,,,,
"hexapheen",,,12,339,1,1982,,,,
"hi-lo & sander van doorn",,,2,855,,,,,,
"hibou",,,2,855,,,,,,
"high hoops",,,3,685,,,,,,
"high tyde",,,2,855,2,1292,,,,
"hms morris",,,25,214,13,426,,,11,611
"hollentanz des konigs kaschtschei",,,1,1301,,,,,,
"holy holy",,,27,203,,,1,2135,,
"honeyblood",,,28,195,24,259,3,1236,,
"honeymoan",,,2,855,,,,,,
"honne",,,4,599,,,,,,
"hot chip",,,19,260,19,312,12,544,20,345
"hot coffee",,,2,855,,,,,,
"hotel lux",,,19,260,14,406,6,887,7,802
"how great were the robins",,,1,1301,,,,,,
"how's harry",,,2,855,,,,,,
"howard jones",,,25,214,,,,,,
"i am x",,,1,1301,,,,,,
"i don't know how but they found me",,,11,360,2,1292,,,,
"ian summerfield",,,3,685,,,,,,
"icona pop",,,9,393,1,1982,,,4,1038
"imaad wasif",,,1,1301,,,,,,
"inca babies",,,5,534,6,685,44,179,1,2066
"inheaven",,,2,855,,,,,,
"injecting strangers",,,1,1301,,,,,,
"introduction",,,1,1301,,,,,,
"introduction (largo)",,,1,1301,,,,,,
"italia 90,louis milburn",,,8,428,14,406,,,,
"ivan ooze",,,3,685,,,,,,
"j ember",,,2,855,,,,,,
"jacko rizardo",,,2,855,,,,,,
"japandroids",,,1,1301,1,1982,,,,
"jarv is...",,,5,534,,,1,2135,,
"jason cohen",,,3,685,,,,,,
"jay moog",,,2,855,,,,,,
"jds-rg",,,2,855,,,,,1,2066
"jean claude lloyd",,,1,1301,,,,,,
"jeff rosenstock",,,3,685,,,1,2135,,
"jenny hval",,,1,1301,5,761,,,1,2066
"jesse turner",,,3,685,,,,,,
"jessica pratt",,,1,1301,,,,,,
"jeu du rapt",,,1,1301,,,,,,
"jeux des cites rivales",,,1,1301,,,,,,
"jim sturgess",,,1,1301,,,,,,
"joe stump",,,1,1301,,,,,2,1439
"johnny cash",,,1,1301,4,865,2,1500,6,854
"johnny nash",,,1,1301,,,1,2135,,
"johnny stimson",,,2,855,,,,,,
"jon fratelli",,,18,269,,,2,1500,,
"jonas brothers",,,3,685,,,,,,
"jonathan personne",,,1,1301,,,,,,
"jonathan richman & the modern lovers",,,1,1301,,,1,2135,,
"joni mitchell",,,1,1301,3,1021,1,2135,,
"josef paul",,,1,1301,1,1982,,,,
"joseph of mercury",,,1,1301,,,,,,
"joyero",,,1,1301,,,,,,
"jr jr",,,3,685,2,1292,,,,
"julia jacklin",,,2,855,,,,,1,2066
"julian bell",,,2,855,,,,,,
"jungle",,,2,855,5,761,19,361,1,2066
"junior west",,,2,855,,,,,,
"k klass",,,1,1301,,,,,1,2066
"karl sanders",,,1,1301,,,,,,
"karmon israeli singers & orchestra of folk instruments",,,1,1301,,,,,,
"karpov not kasparov",,,16,291,123,30,111,52,88,59
"katy perry",,,1,1301,,,,,4,1038
"kenny 'dope' presents the bucketheads",,,2,855,,,1,2135,1,2066
"kevin ayers",,,2,855,4,865,,,1,2066
"kevin rudolf",,,1,1301,1,1982,1,2135,12,563
"kevin sanders",,,2,855,,,,,,
"kh",,,1,1301,,,,,,
"kid kapichi",,,13,325,26,235,29,252,11,611
"kiki dee,the kiki dee band",,,22,239,6,685,3,1236,4,1038
"kills birds",,,2,855,2,1292,1,2135,3,1188
"king khan and the shrines",,,2,855,2,1292,1,2135,3,1188
"king nun",,,41,143,7,630,4,1081,9,716
"king shelter",,,3,685,1,1982,,,1,2066
"kirby krackle",,,1,1301,,,1,2135,,
"kirov orchestra, st petersburg",,,13,325,,,,,,
"kishi bashi",,,4,599,,,,,,
"kitty kat fan club",,,4,599,,,,,,
"kristin anna",,,1,1301,,,,,,
"lady bird",,,17,279,4,865,2,1500,18,381
"lailien",,,1,1301,,,,,,
"lalalar",,,20,249,76,73,119,46,204,14
"lana del rey",,,1,1301,,,,,,
"language from memory",,,1,1301,,,,,,
"lascala",,,2,855,,,,,,
"last dinosaurs",,,2,855,6,685,1,2135,36,193
"le trouble",,,2,855,1,1982,,,,
"leif vollebekk",,,1,1301,,,,,,
"leisure",,,2,855,3,1021,1,2135,,
"leo cosmos, jed",,,2,855,,,,,,
"leonard bernstein & orchestre national de france",,,1,1301,,,,,,
"leonard bernstein, ny philharmonic",,,8,428,,,,,,
"leonard cohen",,,6,496,4,865,2,1500,,
"leslie west",,,2,855,,,,,1,2066
"lewis capaldi",,,3,685,,,,,,
"leyma",,,2,855,,,1,2135,,
"life",,,80,79,13,426,12,544,13,515
"liily",,,1,1301,,,33,228,13,515
"lil nas x",,,2,855,,,,,,
"lime cordiale",,,3,685,8,595,1,2135,23,299
"little comets",,,2,855,,,,,1,2066
"little thief",,,2,855,,,,,,
"living links",,,2,855,,,,,,
"lmfao",,,1,1301,,,,,1,2066
"local natives",,,26,206,,,1,2135,,
"log 10",,,3,685,,,,,,
"london grammar",,,2,855,,,,,,
"lone taxidermist",,,2,855,1,1982,,,,
"lords of the new church",,,31,178,25,249,5,979,32,224
"los campesinos!",,,1,1301,5,761,1,2135,,
"lost in kiev",,,2,855,1,1982,,,,
"lou siefer",,,1,1301,,,,,,
"louis the child",,,2,855,1,1982,,,,
"louis the child feat. k.flay",,,2,855,,,,,,
"love is all",,,1,1301,2,1292,,,1,2066
"lower dens",,,2,855,3,1021,,,1,2066
"luca barbarossa",,,1,1301,,,,,,
"lucia",,,50,125,21,287,8,761,6,854
"lucidvox",,,28,195,12,461,9,707,1,2066
"lullabye arkestra",,,1,1301,1,1982,,,,
"lumsk",,,1,1301,,,,,,
"m.i.a.",,,2,855,68,82,49,157,69,86
"mac demarco",,,7,458,,,1,2135,,
"mad show boys",,,3,685,,,,,,
"magazine",,,10,375,11,496,80,79,83,68
"maggie rogers",,,1,1301,,,,,2,1439
"marginal era",,,3,685,,,,,,
"marina",,,36,154,13,426,90,71,11,611
"marlon negro",,,2,855,,,,,,
"marmozets",,,1,1301,1,1982,2,1500,1,2066
"marsicans",,,2,855,,,1,2135,,
"martha",,,2,855,,,,,,
"martha reeves & the vandellas",,,2,855,4,865,1,2135,6,854
"martin phipps & bbc national orchestra of wales",,,6,496,,,,,,
"martin phipps & latvian radio choir",,,1,1301,,,,,,
"martin phipps, james laing & bbc national orchestra of wales",,,1,1301,,,,,,
"martin phipps, james laing, latvian radio choir & bbc national orchestra of wales",,,2,855,,,,,,
"martin phipps, latvian radio choir & bbc national orchestra of wales",,,9,393,,,,,,
"mashrou' leila",,,87,71,17,346,2,1500,16,422
"mating ritual",,,3,685,,,1,2135,,
"matthew gordon",,,2,855,,,,,,
"maurice jarre",,,12,339,,,24,312,1,2066
"max meldau",,,3,685,,,,,,
"max rad",,,6,496,,,,,,
"maybird",,,2,855,5,761,1,2135,,
"megafauna",,,2,855,,,,,,
"megan landry",,,1,1301,1,1982,1,2135,1,2066
"meghan trainor",,,1,1301,,,,,,
"michael kiwanuka",,,1,1301,,,,,,
"michael lee firkins",,,1,1301,,,,,,
"michna",,,1,1301,,,,,,
"mid city",,,2,855,,,,,,
"mikal cronin",,,1,1301,4,865,,,,
"miles kane",,,4,599,1,1982,2,1500,20,345
"milhaud, darius",,,1,1301,,,,,,
"mindy gledhill",,,1,1301,,,,,,
"ministry",,,1,1301,1,1982,5,979,2,1439
"miya folick",,,1,1301,,,,,,
"mofa ha'arnavot shel dr. kasper (?)",,,1,1301,,,,,,
"molly sarlé",,,1,1301,,,,,,
"moloko",,,2,855,2,1292,20,346,1,2066
"monograms,ben rice,ian jacobs",,,3,685,1,1982,1,2135,,
"montenegro guys",,,2,855,,,,,,
"moon duo",,,9,393,99,48,20,346,37,187
"moon taxi",,,3,685,,,,,,
"morgxn",,,2,855,,,,,,
"mr. gallini",,,2,855,,,,,,
"mr.oizo",,,2,855,,,,,,
"ms. dynamite",,,1,1301,,,,,,
"n",,,2,855,,,1,2135,1,2066
"nakagawa koutarou",,,2,855,,,,,,
"naked raygun",,,1,1301,,,,,,
"nancy",,,4,599,16,368,73,94,17,401
"natalie macmaster",,,1,1301,,,,,,
"necronomidol",,,1,1301,,,,,,
"needshes",,,2,855,,,,,,
"neil young",,,3,685,12,461,,,,
"nek",,,1,1301,2,1292,,,,
"neon genesis evangelion",,,1,1301,,,,,,
"nero",,,1,1301,,,1,2135,,
"new york philharmonic; gustavo dudamel",,,1,1301,,,,,,
"nick cave and the bad seeds",,,8,428,,,,,,
"nick haward",,,2,855,,,,,,
"nick murphy / chet faker",,,2,855,,,,,,
"night club",,,1,1301,,,,,,
"nik ammar & oliver jackson",,,1,1301,,,,,,
"nik freitas",,,1,1301,,,,,,
"nvdes",,,9,393,3,1021,,,,
"o.k.",,,1,1301,,,,,,
"of empires",,,2,855,,,,,,
"of monsters and men",,,1,1301,,,,,,
"off",,,1,1301,,,,,,
"ofra haza",,,2,855,,,,,,
"oh land",,,3,685,,,,,,
"ohio players",,,1,1301,1,1982,,,,
"ohm and the secret sources ‎",,,3,685,,,,,,
"old lady: christa ludwig, london symphony orchestra & chorus, leonard bernstein",,,1,1301,,,,,,
"ole ole",,,1,1301,,,,,,
"olive",,,1,1301,,,,,1,2066
"oliver onions",,,1,1301,,,,,,
"oliver tank",,,1,1301,,,,,,
"oliver tree",,,3,685,,,,,,
"olivia newton john",,,2,855,,,,,,
"om collective",,,2,855,,,,,,
"omar apollo",,,4,599,,,,,,
"omd",,,1,1301,,,,,,
"omni trio and deep blue",,,1,1301,,,,,,
"on video",,,15,303,7,630,17,396,1,2066
"only sun",,,2,855,,,,,,
"opus iii",,,1,1301,,,10,658,4,1038
"orbital",,,3,685,,,13,511,16,422
"origami ghosts",,,2,855,,,,,,
