"artist_name","artist_uri","album_uri","album_name","album_img","album_type","is_collaboration","album_release_date","album_release_year","album_popularity","track_name","track_uri","track_number","disc_number","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","key_mode","track_popularity","track_preview_url","track_open_spotify_url","artist"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"The Great Fire","4QjYvkTRUmPQvpz19gZXSR",5,1,0.547,0.551,"A",-10.054,"minor",0.0341,0.169,0.00672,0.14,0.105,120.117,236145,4,"A minor",47,"https://p.scdn.co/mp3-preview/26f8ff71135a3e14fd953260241d04e9290a6cee?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/4QjYvkTRUmPQvpz19gZXSR","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"Nineteen Seventeen","1RZJSRKn5k0TH1Bw1l5bha",4,1,0.348,0.811,"A",-7.812,"minor",0.0596,0.00635,0.00537,0.218,0.47,122.854,223305,4,"A minor",48,"https://p.scdn.co/mp3-preview/059179704f7e876a4c9b2132c3af5495d5fa38a3?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/1RZJSRKn5k0TH1Bw1l5bha","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"Gun to the Head","2XnqrOWFbsA51F64jZP7KB",3,1,0.608,0.447,"A",-10.085,"minor",0.0335,0.462,0.000184,0.149,0.363,138.155,259252,4,"A minor",49,"https://p.scdn.co/mp3-preview/0981e2706e7f4ee88a38a355f1375e6d99e6f8a3?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/2XnqrOWFbsA51F64jZP7KB","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"Merrie Land","2TfuGRkFZGU7NcYIr3Oamo",2,1,0.619,0.63,"E",-10.006,"minor",0.0327,0.402,0.733,0.109,0.423,110.622,285959,3,"E minor",51,"https://p.scdn.co/mp3-preview/8051ec3bc1918a0e2bb7121c09834a6471ed50e8?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/2TfuGRkFZGU7NcYIr3Oamo","The Good, The Bad & The Queen"
"The Good, the Bad & the Queen","6iy8nrBbtL57i4eUttHTww","3OCV0CcPqayHyPUqtjWcOT","Merrie Land","https://i.scdn.co/image/69bcd6b45b7c04093388d3f698c785ed7853e1f9","album",FALSE,"2018-11-16",2018-11-16,62,"Introduction","2jI5JqKEvGujyXEawNcw7u",1,1,0,0.618,"E",-14.417,"minor",0,0.915,0,0.872,0,0,13279,0,"E minor",2,"https://p.scdn.co/mp3-preview/90ecbac9f2fe3d39aa6441d03ecd6ae5227b177e?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/2jI5JqKEvGujyXEawNcw7u","The Good, The Bad & The Queen"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"Sunset Coming On","0pab5P1Vod5G3Oex6Dh1El",14,1,0.439,0.361,"A",-12.662,"minor",0.0305,0.691,0.305,0.213,0.112,136.794,254133,4,"A minor",42,"https://p.scdn.co/mp3-preview/42d2c77a3aeafa338db3491993d81d4677f9cf2d?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/0pab5P1Vod5G3Oex6Dh1El","Damon Albarn"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"Griot Village","35i4vu0WyG0oq73QVT7xJl",12,1,0.442,0.34,"C",-14.16,"major",0.135,0.976,0.948,0.177,0.973,186.504,72027,4,"C major",16,"https://p.scdn.co/mp3-preview/fd4992a81282fe72eac353de9e497019f253a288?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/35i4vu0WyG0oq73QVT7xJl","Damon Albarn"
"Gorillaz","3AA28KZvwAUcZuOKwyblJQ","0pdYY0CHFRVFLBZEPEKTMZ","D-Sides","https://i.scdn.co/image/60180731540c8b4d44e324eddcbd19feb88c7f53","album",FALSE,"2007-11-19",2007-11-19,56,"Stop The Dams","72nAHrq1bR6iDvng3qMpVf",13,1,0.383,0.476,"C",-7.848,"major",0.0273,0.687,0.19,0.255,0.0718,100.052,339280,4,"C major",39,"https://p.scdn.co/mp3-preview/4e325105cb6503ab7c057350903736ca41f216fa?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/72nAHrq1bR6iDvng3qMpVf","Gorillaz"
"Gorillaz","3AA28KZvwAUcZuOKwyblJQ","0pdYY0CHFRVFLBZEPEKTMZ","D-Sides","https://i.scdn.co/image/60180731540c8b4d44e324eddcbd19feb88c7f53","album",FALSE,"2007-11-19",2007-11-19,56,"El Mañana - Metronomy Remix","2jweCZQQx4j4Eal5mn24ws",6,2,0.607,0.63,"A",-7.405,"minor",0.0362,8.29e-05,0.812,0.114,0.327,132.244,344667,4,"A minor",31,"https://p.scdn.co/mp3-preview/b7e5006dc33771a53a5f4e78a888a5571f555418?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/2jweCZQQx4j4Eal5mn24ws","Gorillaz"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"Institut National Des Arts","13FZWbcSwfFVUxgIIBWyC1",10,1,0.508,0.465,"F",-11.865,"major",0.0276,0.0485,0.343,0.152,0.187,67.865,254640,4,"F major",18,"https://p.scdn.co/mp3-preview/6a4d98276a58c178b365a07cb8f2212fbdcce939?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/13FZWbcSwfFVUxgIIBWyC1","Damon Albarn"
"Gorillaz","3AA28KZvwAUcZuOKwyblJQ","0bUTHlWbkSQysoM3VsWldT","Demon Days","https://i.scdn.co/image/b1726c4ceb855e74841bbfe50aaa0c7aec6a54d0","album",FALSE,"2005-05-23",2005-05-23,80,"November Has Come","6lrDckuosGpwEHtm1hHBcf",9,1,0.702,0.567,"G",-8.561,"major",0.239,0.0815,2.75e-05,0.0864,0.667,84.153,165093,4,"G major",55,"https://p.scdn.co/mp3-preview/c851bbc70e91f785479121fb9fad3f9c0331d075?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/6lrDckuosGpwEHtm1hHBcf","Gorillaz"
"Malian Musicians","4enlUH42adijJsJemKLIrz","40ncJvz2FvF1Z4EvpE3vU9","Mali Music","https://i.scdn.co/image/44a6019c0b536d18e37e15f907aeceb61cc11064","album",TRUE,"2002-04-15",2002-04-15,45,"Niger","0KyoJbvoG6aChFiDHJdPwt",8,1,0.784,0.441,"F#",-11.816,"major",0.0655,0.174,0.317,0.269,0.624,109.259,232827,4,"F# major",29,"https://p.scdn.co/mp3-preview/02f6f210ddee7945d0bfae3019720d0821e1b0f7?cid=27ddcf2345ef43faa8164df3c5cc954d","https://open.spotify.com/track/0KyoJbvoG6aChFiDHJdPwt","Damon Albarn"
